clean_month,clean_hour,dimanche_ouvert,p_w_m2_mean,p_w_m2_std,p_w_m2_q20_norm,p_w_m2_q80_norm
Avril 2022,Mercredi 7h,1,83.7015715684753,25.080188478565393,65.08594964797554,106.60325591870517
Avril 2022,Mercredi 7h,0,83.7015715684753,25.080188478565393,65.08594964797554,106.60325591870517
Avril 2022,Mercredi 8h,1,83.49024921837093,26.07708571543617,64.0049070028268,107.23516234030546
Avril 2022,Mercredi 8h,0,83.49024921837093,26.07708571543617,64.0049070028268,107.23516234030546
Avril 2022,Mercredi 9h,1,81.81157719868811,26.680332703792924,61.74306558050953,106.0373501455355
Avril 2022,Mercredi 9h,0,81.81157719868811,26.680332703792924,61.74306558050953,106.0373501455355
Avril 2022,Mercredi 10h,1,79.77884731905638,26.261837482772012,59.997631757882026,103.61041830359025
Avril 2022,Mercredi 10h,0,79.77884731905638,26.261837482772012,59.997631757882026,103.61041830359025
Avril 2022,Mercredi 11h,1,77.2562844940735,25.88343045002692,57.70973648777863,100.71843751968275
Avril 2022,Mercredi 11h,0,77.2562844940735,25.88343045002692,57.70973648777863,100.71843751968275
Avril 2022,Mercredi 12h,1,76.31735978591432,25.413292096891084,57.14287992514812,99.36215619258745
Avril 2022,Mercredi 12h,0,76.31735978591432,25.413292096891084,57.14287992514812,99.36215619258745
Avril 2022,Mercredi 13h,1,76.50965464288318,25.238163577113486,57.49365305913143,99.40925961674263
Avril 2022,Mercredi 13h,0,76.50965464288318,25.238163577113486,57.49365305913143,99.40925961674263
Avril 2022,Mercredi 14h,1,76.90021557961734,24.599065129537692,58.451136920675445,99.26407272241146
Avril 2022,Mercredi 14h,0,76.90021557961734,24.599065129537692,58.451136920675445,99.26407272241146
Avril 2022,Mercredi 15h,1,76.32228632043007,23.64755914954189,58.67473202434265,97.86652951094288
Avril 2022,Mercredi 15h,0,76.32228632043007,23.64755914954189,58.67473202434265,97.86652951094288
Avril 2022,Mercredi 16h,1,76.01656699661953,22.597950492035952,59.265345913383634,96.6629818508496
